Country,Region
Albania,[EUROPE**]
Argentina,[S. AMERICA]
Belgium,[EUROPE**]
Bosnia & Herzegovina,[EUROPE**]
Bulgaria,[EUROPE**]
Cameroon,[AFRICA]
Canada,Canada
Chile,[S. AMERICA]
China,China
Colombia,[S. AMERICA]
Croatia,[EUROPE**]
Egypt,[AFRICA]
Ethiopia,[AFRICA]
Finland,[EUROPE**]
France,France
Germany,[EUROPE**]
Ghana,[AFRICA]
Hong Kong,China
Hungary,[EUROPE**]
India,India
Iran,[ASIA***]
Ireland,[EUROPE**]
Israel,[ASIA***]
Italy,[EUROPE**]
Japan,[ASIA***]
Jordan,[ASIA***]
Kenya,[AFRICA]
Lebanon,[ASIA***]
Macedonia,[EUROPE**]
Malaysia,[ASIA***]
Mexico,[N. AMERICA*]
Nepal,Nepal
New Zealand,[OCEANIA]
Norway,[EUROPE**]
Pakistan,[ASIA***]
Palestine,[ASIA***]
Philippines,[ASIA***]
Poland,[EUROPE**]
Portugal,[EUROPE**]
Romania,[EUROPE**]
Russian,[EUROPE**]
Saudi Arabia,Saudi Arabia
Senegal,[AFRICA]
Serbia & Montenegro,[EUROPE**]
Singapore,[ASIA***]
South Africa,[AFRICA]
South Korea,South Korea
Sri Lanka,Sri Lanka
Sweden,[EUROPE**]
Syria,[ASIA***]
Taiwan,Taiwan
Thailand,[ASIA***]
Ukraine,[EUROPE**]
United Arab Emirates,[ASIA***]
United Kingdom,[EUROPE**]
United States,United States
Yemen,[ASIA***]
Zambia,[AFRICA]